Experiment UNIQID (PBM ID)	ME/HK	Plasmid ID	Gene ID	Date	QC	Notes	Data file name	PBM assay no
PBM13742	HK	pTH14309	NKRF	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GC2_Cy5	13742
PBM13356	HK	pTH14310	NME2	2018-05-30	Passed		2018-05-30_252436510519_S02_R0_GB2_Cy5	13356
PBM13340	ME	pTH14310	NME2	2018-05-30	Reject		2018-05-30_252207110422_S02_R0_GB2_Cy5	13340
PBM13959	ME	pTH14310	NME2	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GH1_Cy5	13959
PBM14438	ME	pTH14310	NME2	2019-10-31	Reject		2019-10-31_252207110466_S02_R0_GG2_Cy5	14438
PBM13727	ME	pTH14311	PA2G4	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GD1_Cy5	13727
PBM13743	HK	pTH14311	PA2G4	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GD1_Cy5	13743
PBM13728	ME	pTH14312	PCGF2	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GD2_Cy5	13728
PBM13744	HK	pTH14312	PCGF2	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GD2_Cy5	13744
PBM13729	ME	pTH14313	PCGF6	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GE1_Cy5	13729
PBM13745	HK	pTH14313	PCGF6	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GE1_Cy5	13745
PBM13766	ME	pTH14314	PHF19	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GG2_Cy5	13766
PBM13782	HK	pTH14314	PHF19	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GG2_Cy5	13782
PBM13767	ME	pTH14315	PHF19	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GH1_Cy5	13767
PBM13783	HK	pTH14315	PHF19	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GH1_Cy5	13783
PBM13730	ME	pTH14316	PLSCR1	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GE2_Cy5	13730
PBM13746	HK	pTH14316	PLSCR1	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GE2_Cy5	13746
PBM13768	ME	pTH14317	PREB	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GH2_Cy5	13768
PBM13784	HK	pTH14317	PREB	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GH2_Cy5	13784
PBM13731	ME	pTH14318	PREB	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GF1_Cy5	13731
PBM13747	HK	pTH14318	PREB	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GF1_Cy5	13747
PBM13732	ME	pTH14319	PURB	2018-10-29	Unsure		2018-10-29_252207110435_S02_R0_GF2_Cy5	13732
PBM14308	ME	pTH14319	PURB	2019-06-27	Pass_matched_pair		2019-06-27_252207110462_S02_R0_GF2_Cy5	14308
PBM13748	HK	pTH14319	PURB	2018-10-29	Unsure		2018-10-29_252436510530_S02_R0_GF2_Cy5	13748
PBM14324	HK	pTH14319	PURB	2019-06-27	Reject		2019-06-27_252436510640_S02_R0_GF2_Cy5	14324
PBM14454	HK	pTH14319	PURB	2019-10-31	Pass_matched_pair		2019-10-31_252436510644_S02_R0_GG2_Cy5	14454
PBM13733	ME	pTH14320	PURG	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GG1_Cy5	13733
PBM13749	HK	pTH14320	PURG	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GG1_Cy5	13749
PBM13734	ME	pTH14321	RAG1	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GG2_Cy5	13734
PBM13750	HK	pTH14321	RAG1	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GG2_Cy5	13750
PBM13735	ME	pTH14324	SAFB	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GH1_Cy5	13735
PBM13751	HK	pTH14324	SAFB	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GH1_Cy5	13751
PBM13736	ME	pTH14325	SAFB2	2018-10-29	Reject		2018-10-29_252207110435_S02_R0_GH2_Cy5	13736
PBM13752	HK	pTH14325	SAFB2	2018-10-29	Reject		2018-10-29_252436510530_S02_R0_GH2_Cy5	13752
PBM13753	ME	pTH14326	SCMH1	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GA1_Cy5	13753
PBM13769	HK	pTH14326	SCMH1	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GA1_Cy5	13769
PBM13754	ME	pTH14327	SMYD3	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GA2_Cy5	13754
PBM13960	ME	pTH14327	SMYD3	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GH2_Cy5	13960
PBM14309	ME	pTH14327	SMYD3	2019-06-27	Reject		2019-06-27_252207110462_S02_R0_GG1_Cy5	14309
PBM13770	HK	pTH14327	SMYD3	2018-10-30	Unsure		2018-10-30_252436510614_S02_R0_GA2_Cy5	13770
PBM14325	HK	pTH14327	SMYD3	2019-06-27	Reject		2019-06-27_252436510640_S02_R0_GG1_Cy5	14325
PBM13755	ME	pTH14328	SNAPC2	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GB1_Cy5	13755
PBM13771	HK	pTH14328	SNAPC2	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GB1_Cy5	13771
PBM13341	ME	pTH14329	SNAPC5	2018-05-30	Reject		2018-05-30_252207110422_S02_R0_GC1_Cy5	13341
PBM13357	HK	pTH14329	SNAPC5	2018-05-30	Reject		2018-05-30_252436510519_S02_R0_GC1_Cy5	13357
PBM13756	ME	pTH14330	TCF20	2018-10-30	Pass_matched_pair		2018-10-30_252207110442_S02_R0_GB2_Cy5	13756
PBM13772	HK	pTH14330	TCF20	2018-10-30	Pass_matched_pair		2018-10-30_252436510614_S02_R0_GB2_Cy5	13772
PBM13757	ME	pTH14331	TET2	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GC1_Cy5	13757
PBM13773	HK	pTH14331	TET2	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GC1_Cy5	13773
PBM13758	ME	pTH14332	THYN1	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GC2_Cy5	13758
PBM13774	HK	pTH14332	THYN1	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GC2_Cy5	13774
PBM13759	ME	pTH14333	TMF1	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GD1_Cy5	13759
PBM13775	HK	pTH14333	TMF1	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GD1_Cy5	13775
PBM13886	ME	pTH14334	RFX8	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GC2_Cy5	13886
PBM13902	HK	pTH14334	RFX8	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GC2_Cy5	13902
PBM13887	ME	pTH14335	RFX8	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GD1_Cy5	13887
PBM13903	HK	pTH14335	RFX8	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GD1_Cy5	13903
PBM13760	ME	pTH14336	SP100	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GD2_Cy5	13760
PBM13956	ME	pTH14336	SP100	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GF2_Cy5	13956
PBM13776	HK	pTH14336	SP100	2018-10-30	Unsure		2018-10-30_252436510614_S02_R0_GD2_Cy5	13776
PBM13972	HK	pTH14336	SP100	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GF2_Cy5	13972
PBM13761	ME	pTH14337	SP110	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GE1_Cy5	13761
PBM13777	HK	pTH14337	SP110	2018-10-30	Reject		2018-10-30_252436510614_S02_R0_GE1_Cy5	13777
PBM13762	ME	pTH14338	SP140	2018-10-30	Reject		2018-10-30_252207110442_S02_R0_GE2_Cy5	13762
PBM13957	ME	pTH14338	SP140	2018-11-28	Pass_matched_pair		2018-11-28_252207110447_S02_R0_GG1_Cy5	13957
PBM13778	HK	pTH14338	SP140	2018-10-30	Passed		2018-10-30_252436510614_S02_R0_GE2_Cy5	13778
PBM13973	HK	pTH14338	SP140	2018-11-28	Pass_matched_pair		2018-11-28_252436510624_S02_R0_GG1_Cy5	13973
PBM13888	ME	pTH14339	SP140L	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GD2_Cy5	13888
PBM13904	HK	pTH14339	SP140L	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GD2_Cy5	13904
PBM13763	ME	pTH14340	SP140L	2018-10-30	Pass_matched_pair		2018-10-30_252207110442_S02_R0_GF1_Cy5	13763
PBM13779	HK	pTH14340	SP140L	2018-10-30	Pass_matched_pair		2018-10-30_252436510614_S02_R0_GF1_Cy5	13779
PBM13889	ME	pTH14341	TBPL1	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GE1_Cy5	13889
PBM13905	HK	pTH14341	TBPL1	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GE1_Cy5	13905
PBM13890	ME	pTH14342	THAP10	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GE2_Cy5	13890
PBM13906	HK	pTH14342	THAP10	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GE2_Cy5	13906
PBM13891	ME	pTH14343	THAP10	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GF1_Cy5	13891
PBM13907	HK	pTH14343	THAP10	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GF1_Cy5	13907
PBM13892	ME	pTH14344	THAP11	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GF2_Cy5	13892
PBM13908	HK	pTH14344	THAP11	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GF2_Cy5	13908
PBM13893	ME	pTH14345	THAP11	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GG1_Cy5	13893
PBM13909	HK	pTH14345	THAP11	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GG1_Cy5	13909
PBM13894	ME	pTH14346	THAP2	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GG2_Cy5	13894
PBM13910	HK	pTH14346	THAP2	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GG2_Cy5	13910
PBM13895	ME	pTH14347	THAP4	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GH1_Cy5	13895
PBM13911	HK	pTH14347	THAP4	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GH1_Cy5	13911
PBM13896	ME	pTH14348	THAP4	2018-11-20	Reject		2018-11-20_252207110446_S02_R0_GH2_Cy5	13896
PBM13912	HK	pTH14348	THAP4	2018-11-20	Reject		2018-11-20_252436510623_S02_R0_GH2_Cy5	13912
PBM13945	ME	pTH14349	THAP5	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GA1_Cy5	13945
PBM13961	HK	pTH14349	THAP5	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GA1_Cy5	13961
PBM13946	ME	pTH14350	THAP5	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GA2_Cy5	13946
PBM13962	HK	pTH14350	THAP5	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GA2_Cy5	13962
PBM13947	ME	pTH14351	THAP6	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GB1_Cy5	13947
PBM13963	HK	pTH14351	THAP6	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GB1_Cy5	13963
PBM13948	ME	pTH14352	THAP7	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GB2_Cy5	13948
PBM13964	HK	pTH14352	THAP7	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GB2_Cy5	13964
PBM13949	ME	pTH14353	THAP7	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GC1_Cy5	13949
PBM13965	HK	pTH14353	THAP7	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GC1_Cy5	13965
PBM13950	ME	pTH14354	THAP8	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GC2_Cy5	13950
PBM13966	HK	pTH14354	THAP8	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GC2_Cy5	13966
PBM13951	ME	pTH14355	THAP8	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GD1_Cy5	13951
PBM13967	HK	pTH14355	THAP8	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GD1_Cy5	13967
PBM13952	ME	pTH14356	THAP9	2018-11-28	Reject		2018-11-28_252207110447_S02_R0_GD2_Cy5	13952
PBM13968	HK	pTH14356	THAP9	2018-11-28	Reject		2018-11-28_252436510624_S02_R0_GD2_Cy5	13968
PBM14301	ME	pTH15518	MAX	2019-06-27	Pass_matched_pair		2019-06-27_252207110462_S02_R0_GC1_Cy5	14301
PBM14302	ME	pTH15519	SRY	2019-06-27	Pass_matched_pair		2019-06-27_252207110462_S02_R0_GC2_Cy5	14302
PBM14303	ME	pTH15520	SOX15	2019-06-27	Pass_matched_pair		2019-06-27_252207110462_S02_R0_GD1_Cy5	14303
PBM14361	ME	pTH15521	MYF6	2019-07-25	Pass_matched_pair		2019-07-25_252207110464_S02_R0_GA1_Cy5	14361
PBM14362	ME	pTH15522	SOX2	2019-07-25	Pass_matched_pair		2019-07-25_252207110464_S02_R0_GA2_Cy5	14362
PBM14329	ME	pTH15523	JUNB	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GA1_Cy5	14329
PBM14330	ME	pTH15524	POU5F1	2019-07-17	Passed		2019-07-17_252207110463_S02_R0_GA2_Cy5	14330
PBM14304	ME	pTH15525	ZSCAN4	2019-06-27	Pass_matched_pair		2019-06-27_252207110462_S02_R0_GD2_Cy5	14304
PBM14305	ME	pTH15526	RXRA	2019-06-27	Pass_matched_pair		2019-06-27_252207110462_S02_R0_GE1_Cy5	14305
PBM14331	ME	pTH15530	FOSL2	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GB1_Cy5	14331
PBM14332	ME	pTH15531	LHX6	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GB2_Cy5	14332
PBM14333	ME	pTH15532	LEF1	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GC1_Cy5	14333
PBM14334	ME	pTH15533	VDR	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GC2_Cy5	14334
PBM14335	ME	pTH15534	FLI1	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GD1_Cy5	14335
PBM14336	ME	pTH15535	GABPA	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GD2_Cy5	14336
PBM14337	ME	pTH15536	RORB	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GE1_Cy5	14337
PBM14338	ME	pTH15537	RARA	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GE2_Cy5	14338
PBM14339	ME	pTH15538	NR1H4	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GF1_Cy5	14339
PBM14340	ME	pTH15539	PAX7	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GF2_Cy5	14340
PBM14341	ME	pTH15540	cJUN	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GG1_Cy5	14341
PBM14342	ME	pTH15541	YY1	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GG2_Cy5	14342
PBM14343	ME	pTH15542	GCM1	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GH1_Cy5	14343
PBM14344	ME	pTH15544	NR4A2	2019-07-17	Pass_matched_pair		2019-07-17_252207110463_S02_R0_GH2_Cy5	14344
PBM14434	ME	pTH15561	SOX5	2019-10-31	Pass_matched_pair		2019-10-31_252207110466_S02_R0_GE2_Cy5	14434
PBM14435	ME	pTH15569	CTCF	2019-10-31	Reject		2019-10-31_252207110466_S02_R0_GF1_Cy5	14435
PBM14436	ME	pTH15573	NFKB1	2019-10-31	Reject		2019-10-31_252207110466_S02_R0_GF2_Cy5	14436
PBM14317	HK	pTH15518	MAX	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GC1_Cy5	14317
PBM14318	HK	pTH15519	SRY	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GC2_Cy5	14318
PBM14319	HK	pTH15520	SOX15	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GD1_Cy5	14319
PBM14377	HK	pTH15521	MYF6	2019-07-25	Pass_matched_pair		2019-07-25_252436510642_S02_R0_GA1_Cy5	14377
PBM14378	HK	pTH15522	SOX2	2019-07-25	Pass_matched_pair		2019-07-25_252436510642_S02_R0_GA2_Cy5	14378
PBM14345	HK	pTH15523	JUNB	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GA1_Cy5	14345
PBM14346	HK	pTH15524	POU5F1	2019-07-17	Reject		2019-07-17_252436510641_S02_R0_GA2_Cy5	14346
PBM14320	HK	pTH15525	ZSCAN4	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GD2_Cy5	14320
PBM14321	HK	pTH15526	RXRA	2019-06-27	Pass_matched_pair		2019-06-27_252436510640_S02_R0_GE1_Cy5	14321
PBM14347	HK	pTH15530	FOSL2	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GB1_Cy5	14347
PBM14348	HK	pTH15531	LHX6	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GB2_Cy5	14348
PBM14349	HK	pTH15532	LEF1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GC1_Cy5	14349
PBM14350	HK	pTH15533	VDR	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GC2_Cy5	14350
PBM14351	HK	pTH15534	FLI1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GD1_Cy5	14351
PBM14352	HK	pTH15535	GABPA	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GD2_Cy5	14352
PBM14353	HK	pTH15536	RORB	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GE1_Cy5	14353
PBM14354	HK	pTH15537	RARA	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GE2_Cy5	14354
PBM14355	HK	pTH15538	NR1H4	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GF1_Cy5	14355
PBM14356	HK	pTH15539	PAX7	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GF2_Cy5	14356
PBM14357	HK	pTH15540	cJUN	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GG1_Cy5	14357
PBM14358	HK	pTH15541	YY1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GG2_Cy5	14358
PBM14359	HK	pTH15542	GCM1	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GH1_Cy5	14359
PBM14360	HK	pTH15544	NR4A2	2019-07-17	Pass_matched_pair		2019-07-17_252436510641_S02_R0_GH2_Cy5	14360
PBM14450	HK	pTH15561	SOX5	2019-10-31	Pass_matched_pair		2019-10-31_252436510644_S02_R0_GE2_Cy5	14450
PBM14451	HK	pTH15569	CTCF	2019-10-31	Unsure		2019-10-31_252436510644_S02_R0_GF1_Cy5	14451
PBM14452	HK	pTH15573	NFKB1	2019-10-31	Reject		2019-10-31_252436510644_S02_R0_GF2_Cy5	14452
