BBI_ID	Hughes_ID	TF_family	SSID	Barcode
UT380-009	AHCTF1.DBD	AT hook	SS001	BC01
UT380-012	AKAP8L.DBD	C2H2 ZF	SS001	BC02
UT380-022	BATF2.FL	bZIP	SS001	BC03
UT380-023	BHLHA9.FL	bHLH	SS001	BC04
UT380-028	CASZ1.DBD.1	C2H2 ZF	SS001	BC05
UT380-042	CREB3L3.FL	bZIP	SS001	BC06
UT380-055	DMRTB1.FL	DM	SS001	BC07
UT380-064	ELF3.FL	Ets; AT hook	SS001	BC08
UT380-070	FIZ1.FL	C2H2 ZF	SS001	BC10
UT380-075	GATAD2B.FL	GATA	SS001	BC11
UT380-090	HSFX1.FL	HSF	SS001	BC12
UT380-038	CHAMP1.DBD	C2H2 ZF	SS003	BC01
UT380-056	DMTF1.DBD	Myb/SANT	SS003	BC02
UT380-198	SP100.DBD	SAND	SS003	BC03
UT380-095	KAT7.DBD	C2H2 ZF	SS003	BC04
UT380-096	KAT7.FL	C2H2 ZF	SS003	BC05
UT380-103	LEUTX.FL	Homeodomain	SS003	BC06
UT380-104	MAZ.FL	C2H2 ZF	SS003	BC07
UT380-113	MKX.FL	Homeodomain	SS003	BC08
UT380-125	MYT1.DBD.1	C2H2 ZF	SS003	BC09
UT380-126	MYT1.DBD.2	C2H2 ZF	SS003	BC10
UT380-142	PEG3.DBD.1	C2H2 ZF	SS003	BC11
UT380-093	JRK.DBD	CENPB	SS004	BC01
UT380-098	KDM2A.DBD	CxxC	SS004	BC02
UT380-237	TSHZ2.DBD.1	C2H2 ZF	SS004	BC03
UT380-238	TSHZ2.DBD.2	C2H2 ZF	SS004	BC04
UT380-242	ZBED2.FL	BED ZF	SS004	BC05
UT380-243	ZBED3.FL	BED ZF	SS004	BC06
UT380-249	ZBTB40.DBD	C2H2 ZF	SS004	BC07
UT380-250	ZBTB41.DBD	C2H2 ZF	SS004	BC08
UT380-252	ZBTB46.DBD	C2H2 ZF	SS004	BC09
UT380-253	ZBTB46.FL	C2H2 ZF	SS004	BC10
UT380-254	ZBTB47.DBD	C2H2 ZF	SS004	BC11
UT380-105	MBD1.DBD	MBD; CxxC ZF	SS005	BC01
UT380-127	NACC2.DBD	Unknown	SS005	BC02
UT380-502	ZSCAN12.DBD	C2H2 ZF	SS005	BC03
UT380-503	ZSCAN12.FL	C2H2 ZF	SS005	BC04
UT380-506	ZSCAN2.DBD	C2H2 ZF	SS005	BC05
UT380-507	ZSCAN2.FL	C2H2 ZF	SS005	BC06
UT380-508	ZSCAN25.DBD	C2H2 ZF	SS005	BC07
UT380-509	ZSCAN25.FL	C2H2 ZF	SS005	BC08
UT380-248	ZBTB24.FL	#N/A	SS005	BC09
UT380-255	ZBTB47.FL	C2H2 ZF	SS005	BC10
UT380-251	ZBTB41.FL	C2H2 ZF	SS005	BC11
UT380-144	PHF21A.DBD	AT hook	SS006	BC01
UT380-185	SETBP1.DBD.1	AT hook	SS006	BC02
UT380-269	ZGLP1.FL	GATA	SS006	BC03
UT380-279	ZKSCAN4.DBD	C2H2 ZF	SS006	BC04
UT380-280	ZKSCAN4.FL	C2H2 ZF	SS006	BC05
UT380-284	ZNF107.DBD.1	C2H2 ZF	SS006	BC06
UT380-285	ZNF107.DBD.2	C2H2 ZF	SS006	BC07
UT380-287	ZNF131.DBD	C2H2 ZF	SS006	BC08
UT380-292	ZNF160.DBD	C2H2 ZF	SS006	BC09
UT380-294	ZNF20.FL	C2H2 ZF	SS006	BC10
UT380-296	ZNF208.DBD.1	C2H2 ZF	SS006	BC11
UT380-204	SP140L.DBD	SAND	SS007	BC01
UT380-212	TET3.DBD	CxxC	SS007	BC02
UT380-314	ZNF280D.DBD	C2H2 ZF	SS007	BC03
UT380-318	ZNF292.DBD.1	C2H2 ZF	SS007	BC04
UT380-319	ZNF292.DBD.2	C2H2 ZF	SS007	BC05
UT380-323	ZNF335.AThook	#N/A	SS007	BC06
UT380-324	ZNF335.DBD.1	C2H2 ZF	SS007	BC07
UT380-325	ZNF335.DBD.2	C2H2 ZF	SS007	BC08
UT380-329	ZNF358.DBD	C2H2 ZF	SS007	BC09
UT380-330	ZNF358.FL	C2H2 ZF	SS007	BC10
UT380-331	ZNF362.FL	C2H2 ZF	SS007	BC11
UT380-230	TIGD7.DBD	CENPB	SS008	BC01
UT380-233	TPRX1.DBD	Homeodomain	SS008	BC02
UT380-339	ZNF407.AThook	#N/A	SS008	BC03
UT380-340	ZNF407.DBD	C2H2 ZF	SS008	BC04
UT380-342	ZNF43.DBD.1	C2H2 ZF	SS008	BC05
UT380-343	ZNF43.DBD.2	C2H2 ZF	SS008	BC06
UT380-345	ZNF446.FL	C2H2 ZF	SS008	BC07
UT380-347	ZNF470.DBD	C2H2 ZF	SS008	BC08
UT380-349	ZNF471.DBD	C2H2 ZF	SS008	BC09
UT380-354	ZNF493.DBD.2	C2H2 ZF	SS008	BC11
UT380-353	ZNF493.DBD.1	C2H2 ZF	SS008	BC12
UT380-245	ZBED5.DBD	BED ZF	SS010	BC01
UT380-247	ZBED9.DBD	BED ZF	SS010	BC02
UT380-029	CASZ1.DBD.2	C2H2 ZF	SS010	BC03
UT380-057	DMTF1.FL	Myb/SANT	SS010	BC04
UT380-073	GATAD2A.FL	GATA	SS010	BC05
UT380-082	GRHL3.FL	Grainyhead	SS010	BC06
UT380-106	MBD1.FL	MBD; CxxC ZF	SS010	BC07
UT380-135	NFXL1.FL	NFX	SS010	BC08
UT380-155	PRDM13.FL	C2H2 ZF	SS010	BC09
UT380-159	PRDM5.FL	C2H2 ZF	SS010	BC10
UT380-161	PRDM8.FL	C2H2 ZF	SS010	BC11
UT380-352	ZNF48.FL	C2H2 ZF	SS010	BC12
UT380-066	FAM200B.DBD	BED ZF	SS013	BC02
UT380-068	FBXL19.DBD	CxxC	SS013	BC03
UT380-185	SETBP1.DBD.1	AT hook	SS013	BC05
UT380-212	TET3.DBD	CxxC	SS013	BC06
UT380-233	TPRX1.DBD	Homeodomain	SS013	BC07
UT380-241	USF3.DBD	bHLH	SS013	BC09
UT380-244	ZBED4.DBD	BED ZF	SS013	BC10
UT380-245	ZBED5.DBD	BED ZF	SS013	BC11
UT380-066	FAM200B.DBD	BED ZF	SS014	BC01
UT380-068	FBXL19.DBD	CxxC	SS014	BC02
UT380-143	PEG3.DBD.2	C2H2 ZF	SS014	BC03
UT380-150	POU5F1.FL	Homeodomain; POU	SS014	BC04
UT380-152	PRDM10.AThook	C2H2 ZF; AT hook	SS014	BC05
UT380-153	PRDM10.DBD	C2H2 ZF	SS014	BC06
UT380-154	PRDM13.DBD	C2H2 ZF	SS014	BC07
UT380-156	PRDM2.DBD.1	C2H2 ZF	SS014	BC08
UT380-157	PRDM2.DBD.2	C2H2 ZF	SS014	BC09
UT380-158	PRDM5.DBD	C2H2 ZF	SS014	BC10
UT380-160	PRDM8.DBD	C2H2 ZF	SS014	BC11
UT380-267	ZFPM1.DBD.2	C2H2 ZF	SS016	BC01
UT380-268	ZFPM2.DBD	C2H2 ZF	SS016	BC02
UT380-275	ZHX2.FL	Homeodomain	SS016	BC03
UT380-278	ZHX3.FL	Homeodomain	SS016	BC04
UT380-286	ZNF107.FL	C2H2 ZF	SS016	BC05
UT380-288	ZNF131.FL	C2H2 ZF	SS016	BC06
UT380-289	ZNF14.FL	C2H2 ZF	SS016	BC07
UT380-290	ZNF142.DBD.1	C2H2 ZF	SS016	BC08
UT380-291	ZNF142.DBD.2	C2H2 ZF	SS016	BC09
UT380-293	ZNF160.FL	C2H2 ZF	SS016	BC10
UT380-302	ZNF226.FL	C2H2 ZF	SS016	BC11
UT380-056	DMTF1.DBD	Myb/SANT	SS016	BC12
UT380-187	SETBP1.DBD.3	AT hook	SS017	BC01
UT380-202	SP140.DBD	SAND	SS017	BC02
UT380-297	ZNF208.DBD.2	C2H2 ZF	SS017	BC03
UT380-298	ZNF208.DBD.3	C2H2 ZF	SS017	BC04
UT380-299	ZNF215.DBD	C2H2 ZF	SS017	BC05
UT380-300	ZNF215.FL	C2H2 ZF	SS017	BC06
UT380-301	ZNF226.DBD	C2H2 ZF	SS017	BC07
UT380-305	ZNF230.FL	C2H2 ZF	SS017	BC08
UT380-306	ZNF233.DBD	C2H2 ZF	SS017	BC09
UT380-309	ZNF251.DBD	C2H2 ZF	SS017	BC10
UT380-311	ZNF275.FL	C2H2 ZF	SS017	BC11
UT380-077	GLYR1.DBD	AT hook	SS017	BC12
UT380-038	CHAMP1.DBD	C2H2 ZF	SS018	BC01
UT380-105	MBD1.DBD	MBD; CxxC ZF	SS018	BC02
UT380-127	NACC2.DBD	Unknown	SS018	BC03
UT380-502	ZSCAN12.DBD	C2H2 ZF	SS018	BC04
UT380-503	ZSCAN12.FL	C2H2 ZF	SS018	BC05
UT380-144	PHF21A.DBD	AT hook	SS018	BC06
UT380-185	SETBP1.DBD.1	AT hook	SS018	BC07
UT380-262	ZFAT.DBD.1	C2H2 ZF	SS018	BC08
UT380-263	ZFAT.DBD.2	C2H2 ZF	SS018	BC09
UT380-264	ZFP91.DBD	C2H2 ZF	SS018	BC10
UT380-265	ZFP91.FL	C2H2 ZF	SS018	BC11
UT380-266	ZFPM1.DBD.1	C2H2 ZF	SS018	BC12
UT380-404	ZNF646	C2H2 ZF	SS101	BC01
UT380-427	ZNF700	C2H2 ZF	SS101	BC02
UT380-428	ZNF700	C2H2 ZF	SS101	BC03
UT380-462	ZNF780B	C2H2 ZF	SS101	BC04
UT380-463	ZNF780B	C2H2 ZF	SS101	BC05
UT380-412	ZNF668	C2H2 ZF	SS101	BC06
UT380-411	ZNF668	C2H2 ZF	SS101	BC07
UT380-444	ZNF726	C2H2 ZF	SS101	BC08
UT380-443	ZNF726	C2H2 ZF	SS101	BC09
UT380-482	ZNF841	C2H2 ZF	SS101	BC10
UT380-481	ZNF841	C2H2 ZF	SS101	BC11
UT380-479	ZNF836	C2H2 ZF	SS102	BC01
UT380-438	ZNF721	C2H2 ZF	SS102	BC02
UT380-439	ZNF721	C2H2 ZF	SS102	BC03
UT380-450	ZNF729	C2H2 ZF	SS102	BC04
UT380-449	ZNF729	C2H2 ZF	SS102	BC05
UT380-500	ZNF91	C2H2 ZF	SS102	BC06
UT380-499	ZNF91	C2H2 ZF	SS102	BC07
UT380-436	ZNF717	C2H2 ZF	SS102	BC08
UT380-435	ZNF717	C2H2 ZF	SS102	BC09
UT380-486	ZNF845	C2H2 ZF	SS102	BC10
UT380-487	ZNF845	C2H2 ZF	SS102	BC11
UT380-271	ZGPAT	#N/A	SS103	BC01
UT380-270	ZGPAT	#N/A	SS103	BC02
UT380-011	AKAP8	C2H2	SS103	BC03
UT380-010	AKAP8	C2H2	SS103	BC04
UT380-017	ANKZF1	C2H2	SS103	BC05
UT380-016	ANKZF1	C2H2	SS103	BC06
UT380-371	ZNF532	C2H2 ZF	SS103	BC07
UT380-370	ZNF532	C2H2 ZF	SS103	BC08
UT380-388	ZNF592	C2H2 ZF	SS103	BC09
UT380-387	ZNF592	C2H2 ZF	SS103	BC10
UT380-420	ZNF687	C2H2 ZF	SS103	BC11
UT380-467	ZNF800	C2H2 ZF	SS104	BC01
UT380-468	ZNF800	C2H2 ZF	SS104	BC02
UT380-417	ZNF683	C2H2 ZF	SS104	BC03
UT380-418	ZNF683	C2H2 ZF	SS104	BC04
UT380-474	ZNF827	C2H2 ZF	SS104	BC05
UT380-475	ZNF827	C2H2 ZF	SS104	BC06
UT380-516	ZXDC	C2H2 ZF	SS104	BC07
UT380-453	ZNF746	C2H2 ZF	SS104	BC08
UT380-454	ZNF746	C2H2 ZF	SS104	BC09
UT380-512	ZXDA	C2H2 ZF	SS104	BC10
UT380-513	ZXDA	C2H2 ZF	SS104	BC11
UT380-373	ZNF536	C2H2 ZF	SS105	BC01
UT380-372	ZNF536	C2H2 ZF	SS105	BC02
UT380-514	ZXDB	C2H2 ZF	SS105	BC03
UT380-515	ZXDB	C2H2 ZF	SS105	BC04
UT380-405	ZNF648	C2H2 ZF	SS105	BC05
UT380-406	ZNF648	C2H2 ZF	SS105	BC06
UT380-470	ZNF813	C2H2 ZF	SS105	BC07
UT380-471	ZNF813	C2H2 ZF	SS105	BC08
UT380-374	ZNF551	C2H2 ZF	SS105	BC09
UT380-375	ZNF551	C2H2 ZF	SS105	BC10
UT380-392	ZNF606	C2H2 ZF	SS105	BC11
UT380-424	ZNF699	C2H2 ZF	SS106	BC01
UT380-376	ZNF568	C2H2 ZF	SS106	BC02
UT380-409	ZNF665	C2H2 ZF	SS106	BC03
UT380-378	ZNF569	C2H2 ZF	SS106	BC04
UT380-472	ZNF814	C2H2 ZF	SS106	BC05
UT380-395	ZNF618	C2H2 ZF	SS106	BC06
UT380-003	AC092835	C2H2 ZF	SS106	BC07
UT380-002	AC092835	C2H2 ZF	SS106	BC08
UT380-021	ATMIN	C2H2 ZF	SS106	BC09
UT380-020	ATMIN	C2H2 ZF	SS106	BC10
UT380-062	DZIP1	C2H2 ZF	SS106	BC11
UT380-316	ZNF286B	C2H2 ZF	SS108	BC01
UT380-317	ZNF286B	C2H2 ZF	SS108	BC02
UT380-321	ZNF326	C2H2 ZF	SS108	BC03
UT380-322	ZNF326	C2H2 ZF	SS108	BC04
UT380-337	ZNF395	C2H2 ZF	SS108	BC05
UT380-338	ZNF395	C2H2 ZF	SS108	BC06
UT380-359	ZNF503	C2H2 ZF	SS108	BC07
UT380-358	ZNF503	C2H2 ZF	SS108	BC08
UT380-382	ZNF578	C2H2 ZF	SS108	BC09
UT380-383	ZNF578	C2H2 ZF	SS108	BC10
UT380-385	ZNF587B	C2H2 ZF	SS108	BC11
UT380-389	ZNF598	C2H2 ZF	SS109	BC01
UT380-398	ZNF630	C2H2 ZF	SS109	BC02
UT380-399	ZNF630	C2H2 ZF	SS109	BC03
UT380-430	ZNF703	C2H2 ZF	SS109	BC04
UT380-431	ZNF703	C2H2 ZF	SS109	BC05
UT380-441	ZNF724	C2H2 ZF	SS109	BC06
UT380-442	ZNF724	C2H2 ZF	SS109	BC07
UT380-446	ZNF728	C2H2 ZF	SS109	BC08
UT380-447	ZNF728	C2H2 ZF	SS109	BC09
UT380-451	ZNF732	C2H2 ZF	SS109	BC10
UT380-452	ZNF732	C2H2 ZF	SS109	BC11
UT380-071	FLYWCH1	FLYWCH	SS112	BC01
UT380-190	SGSM2	BED ZF	SS112	BC02
UT380-401	ZNF644	C2H2 ZF	SS112	BC03
UT380-407	ZNF654	C2H2 ZF	SS112	BC04
UT380-465	ZNF781	C2H2 ZF	SS112	BC05
UT380-457	ZNF763	C2H2 ZF	SS112	BC06
UT380-381	ZNF575	C2H2 ZF	SS112	BC07
UT380-384	ZNF579	C2H2 ZF	SS112	BC08
UT380-423	ZNF696	C2H2 ZF	SS112	BC09
UT380-459	ZNF772	C2H2 ZF	SS112	BC10
UT380-422	ZNF689	C2H2 ZF	SS112	BC11
UT380-434	ZNF709	C2H2 ZF	SS113	BC01
UT380-460	ZNF773	C2H2 ZF	SS113	BC02
UT380-414	ZNF672	C2H2 ZF	SS113	BC03
UT380-426	ZNF70	C2H2 ZF	SS113	BC04
UT380-458	ZNF768	C2H2 ZF	SS113	BC05
UT380-461	ZNF775	C2H2 ZF	SS113	BC06
UT380-380	ZNF57	C2H2 ZF	SS113	BC07
UT380-501	ZNF92	C2H2 ZF	SS113	BC08
UT380-415	ZNF676	C2H2 ZF	SS113	BC09
UT380-416	ZNF678	C2H2 ZF	SS113	BC10
UT380-397	ZNF623	C2H2 ZF	SS113	BC11
UT380-408	ZNF66	C2H2 ZF	SS114	BC01
UT380-476	ZNF83	C2H2 ZF	SS114	BC02
UT380-400	ZNF639	C2H2 ZF	SS114	BC03
UT380-001	AC008770	C2H2 ZF	SS114	BC04
UT380-032	CCDC17	C2H2 ZF	SS114	BC05
UT380-041	CPXCR1	C2H2 ZF	SS114	BC06
UT380-063	EEA1	C2H2 ZF	SS114	BC07
UT380-065	FAM170A	C2H2 ZF	SS114	BC08
UT380-092	JAZF1	C2H2 ZF	SS114	BC09
UT380-100	KIN	C2H2 ZF	SS114	BC10
UT380-193	SLC2A4RG	C2H2 ZF	SS114	BC11
UT380-336	ZNF385C	C2H2 ZF	SS116	BC01
UT380-341	ZNF428	C2H2 ZF	SS116	BC02
UT380-346	ZNF469	C2H2 ZF	SS116	BC03
UT380-351	ZNF474	C2H2 ZF	SS116	BC04
UT380-393	ZNF608	C2H2 ZF	SS116	BC05
UT380-394	ZNF609	C2H2 ZF	SS116	BC06
UT380-421	ZNF688	C2H2 ZF	SS116	BC07
UT380-432	ZNF705E	C2H2 ZF	SS116	BC08
UT380-433	ZNF706	C2H2 ZF	SS116	BC09
UT380-466	ZNF788	C2H2 ZF	SS116	BC10
UT380-469	ZNF804A	C2H2 ZF	SS116	BC11
UT380-477	ZNF831	C2H2 ZF	SS117	BC01
UT380-495	ZNF878	C2H2 ZF	SS117	BC02
UT380-260	ZC3H8	CCCH ZF	SS117	BC03
UT380-133	NFX1	NFX	SS117	BC04
UT380-213	THAP10	THAP finger	SS117	BC05
UT380-214	THAP11	THAP finger	SS117	BC06
UT380-215	THAP2	THAP finger	SS117	BC07
UT380-218	THAP5	THAP finger	SS117	BC08
UT380-219	THAP6	THAP finger	SS117	BC09
UT380-220	THAP7	THAP finger	SS117	BC10
UT380-221	THAP8	THAP finger	SS117	BC11
UT380-165	PURB	Unknown	SS118	BC01
UT380-225	TIGD3	CENPB	SS118	BC02
UT380-087	HMG20A	HMG/Sox	SS118	BC03
UT380-115	MSANTD4	Myb/SANT	SS118	BC04
UT380-037	CGGBP1	Unknown	SS118	BC05
UT380-138	NME2	Unknown	SS118	BC06
UT380-194	SMYD3	Unknown	SS118	BC07
UT380-050	DACH1	#N/A	SS118	BC08
UT380-051	DACH1	#N/A	SS118	BC09
UT380-015	AKNA	AT hook	SS118	BC10
UT380-014	AKNA	AT hook	SS118	BC11
UT380-149	POGK	Brinker	SS119	BC01
UT380-148	POGK	Brinker	SS119	BC02
UT380-227	TIGD4	CENPB	SS119	BC03
UT380-226	TIGD4	CENPB	SS119	BC04
UT380-229	TIGD5	CENPB	SS119	BC05
UT380-228	TIGD5	CENPB	SS119	BC06
UT380-083	GTF2IRD2	GTF2I-like	SS119	BC07
UT380-084	GTF2IRD2	GTF2I-like	SS119	BC08
UT380-085	GTF2IRD2B	GTF2I-like	SS119	BC09
UT380-086	GTF2IRD2B	GTF2I-like	SS119	BC10
UT380-004	ADNP	Homeodomain	SS119	BC11
UT380-006	ADNP2	Homeodomain	SS120	BC01
UT380-108	MBD4	MBD	SS120	BC02
UT380-109	MBD4	MBD	SS120	BC03
UT380-188	SETDB2	MBD	SS120	BC04
UT380-189	SETDB2	MBD	SS120	BC05
UT380-123	MYSM1	Myb/SANT	SS120	BC06
UT380-124	MYSM1	Myb/SANT	SS120	BC07
UT380-209	TERB1	Myb/SANT	SS120	BC08
UT380-208	TERB1	Myb/SANT	SS120	BC09
UT380-239	TTF1	Myb/SANT	SS120	BC10
UT380-240	TTF1	Myb/SANT	SS120	BC11
