tf	experiment_type	dataset
AC092835	CHS	THC_0191
AC092835	CHS	THC_0199
AHCTF1	PBM	PBM13497
AHCTF1	PBM	PBM13513
ATMIN	CHS	THC_0236
ATMIN	CHS	THC_0244
BATF2	CHS	THC_0117
BATF2	CHS	THC_0118
BATF2	HTS-LYS	YWL_A_GG40NTAGTTT
BATF2	AFS-LYS	YWL_B_AffSeq_F3_BATF2
BHLHA9	CHS	THC_0190
BHLHA9	CHS	THC_0198
CAMTA1	CHS	THC_0249
CAMTA1	SMS	UT380-026
CAMTA1	HTS-LYS	YWK_A_TA40NAGGCTT
CAMTA1	AFS-LYS	YWK_B_AffSeq_G3_CAMTA1
CAMTA1	HTS-LYS	YWK_C_TA40NAGGCTT
CAMTA1	AFS-LYS	YWK_D_AffSeq_G3_CAMTA1
CAMTA1	HTS-GFPIVT	YWM_A_AG40NTGGCTA
CAMTA1	AFS-GFPIVT	YWM_B_AffSeq_B4_CAMTA1-DBD
CAMTA2	CHS	THC_0232
CAMTA2	SMS	UT380-027
CAMTA2	HTS-LYS	YWL_A_TA40NTCACTC
CAMTA2	AFS-LYS	YWL_B_AffSeq_G2_CAMTA2
CASZ1	SMS	UT380-028
CASZ1	SMS	UT380-029-2
CASZ1	HTS-IVT	YWF_A_CG40NGTTATT
CASZ1	AFS-IVT	YWF_B_AffSeq_D01_CASZ1
CASZ1	HTS-LYS	YWK_A_AG40NGGAATC
CASZ1	AFS-LYS	YWK_B_AffSeq_B3_CASZ1
CASZ1	HTS-LYS	YWK_C_AG40NGGAATC
CASZ1	AFS-LYS	YWK_D_AffSeq_B3_CASZ1
CASZ1	HTS-GFPIVT	YWM_A_CT40NCGGAGA
CASZ1	AFS-GFPIVT	YWM_B_AffSeq_D4_CASZ1-DBD-1
CGGBP1	PBM	PBM13543
CGGBP1	PBM	PBM13559
CGGBP1	CHS	THC_0635
CGGBP1	SMS	UT380-037
CGGBP1	HTS-LYS	YWL_A_CC40NCGTTTT
CGGBP1	AFS-LYS	YWL_B_AffSeq_C11_CGGBP1
CGGBP1	AFS-GFPIVT	YWM_B_AffSeq_E5_CGGBP1-FL
ZNF578	CHS	THC_0466
PRDM5	CHS	THC_0361.Rep-DIANA_0293
PRDM5	CHS	THC_0361.Rep-MICHELLE_0314
CREB3L3	PBM	PBM13564
CREB3L3	PBM	PBM13580
CREB3L3	CHS	THC_0565
CREB3L3	SMS	UT380-042
CREB3L3	HTS-IVT	YWC_B_GA40NGGTCAT
CREB3L3	HTS-GFPIVT	YWM_A_AG40NCTTTTC
CREB3L3	AFS-GFPIVT	YWM_B_AffSeq_B6_CREB3L3-FL
CREB3L3	HTS-LYS	YWN_A_GG40NGGTTTA
CREB3L3	AFS-LYS	YWN_B_AffSeq_F2_CREB3L3
CREB3L3	HTS-LYS	YWO_A_GG40NGGTTTA
CREB3L3	AFS-LYS	YWO_B_AffSeq_F2_CREB3L3
CTCF	SMS	SRR3405078
CTCF	CHS	THC_0201
CTCF	CHS	THC_0209
CTCF	CHS	THC_0313.Rep-DIANA_0293
CTCF	CHS	THC_0313.Rep-MICHELLE_0314
CTCF	CHS	THC_0456.Rep-DIANA_0293
CTCF	CHS	THC_0456.Rep-MICHELLE_0314
CTCF	CHS	THC_0575
CTCF	CHS	THC_0744
CTCF	CHS	THC_0865
CTCF	CHS	THC_0867
CTCF	HTS-LYS	YWG_A_AT40NAGCCTC
CTCF	HTS-LYS	YWK_A_TC40NTTCCGG
CTCF	AFS-LYS	YWK_B_AffSeq_G9_CTCF
CTCF	HTS-LYS	YWK_C_TC40NTTCCGG
CTCF	AFS-LYS	YWK_D_AffSeq_G9_CTCF
CTCF	HTS-LYS	YWL_A_TG40NCTGTGG
CTCF	AFS-LYS	YWL_B_AffSeq_H8_CTCF
CTCF	HTS-LYS	YWN_A_AA40NCCAGTG
CTCF	AFS-LYS	YWN_B_AffSeq_A5_CTCF
CTCF	HTS-LYS	YWO_A_AA40NCCAGTG
CTCF	AFS-LYS	YWO_B_AffSeq_A5_CTCF
CXXC4	PBM	PBM13570
CXXC4	PBM	PBM13586
CXXC4	PBM	PBM13920
CXXC4	PBM	PBM13936
CXXC4	CHS	THC_0235
CXXC4	CHS	THC_0243
CXXC4	SMS	UT380-049
CXXC4	HTS-IVT	YWC_B_AA40NGTGGTC
CXXC4	HTS-IVT	YWC_B_TG40NTGATCT
CXXC4	HTS-LYS	YWK_A_GG40NTAGTTT
CXXC4	AFS-LYS	YWK_B_AffSeq_F3_CXXC4
CXXC4	HTS-LYS	YWK_C_GG40NTAGTTT
CXXC4	AFS-LYS	YWK_D_AffSeq_F3_CXXC4
CXXC4	HTS-GFPIVT	YWM_A_AC40NGTATGA
CXXC4	AFS-GFPIVT	YWM_B_AffSeq_A7_CXXC4-FL
DACH1	HTS-LYS	YWN_A_TG40NTGTGTT
DACH1	HTS-GFPIVT	YWM_A_CC40NTGAGTA
DACH1	HTS-LYS	YWO_A_TG40NTGTGTT
DACH2	HTS-IVT	YWJ_A_GT40NGGCATT
DACH2	HTS-GFPIVT	YWM_A_GC40NTCTCTT
DMTF1	PBM	PBM13662
DMTF1	PBM	PBM13678
DMTF1	CHS	THC_0709
DMTF1	CHS	THC_0805
DMTF1	SMS	UT380-056-2
DMTF1	SMS	UT380-057
DMTF1	HTS-LYS	YWL_A_AC40NTCCTTG
DMTF1	AFS-LYS	YWL_B_AffSeq_A12_DMTF1
DMTF1	HTS-GFPIVT	YWM_A_AC40NGTTCGA
DMTF1	AFS-GFPIVT	YWM_B_AffSeq_A8_DMTF1-FL
DNTTIP1	CHS	THC_0087
DNTTIP1	CHS	THC_0152
DNTTIP1	HTS-LYS	YWD_A_GG40NTAGTTT
DNTTIP1	AFS-LYS	YWD_B_AffSeq_F03_DNTTIP1
DNTTIP1	HTS-GFPIVT	YWM_A_AT40NTCCCGA
ELF3	CHS	THC_0187
ELF3	CHS	THC_0195
ELF3	SMS	UT380-064
ELF3	HTS-LYS	YWD_A_AG40NTCGACT
ELF3	AFS-LYS	YWD_B_AffSeq_B01_ELF3
ELF3	HTS-GFPIVT	YWM_A_TG40NCTGTGG
ELF3	AFS-GFPIVT	YWM_B_AffSeq_H8_ELF3-FL
FAM200B	HTS-IVT	YWC_A_TC40NACGGGA
FAM200B	HTS-GFPIVT	YWM_A_CC40NGACATG
FAM200B	PBM	PBM13691
FAM200B	PBM	PBM13707
FAM200B	CHS	THC_0886
FAM200B	CHS	THC_0887
FAM200B	SMS	UT380-066-1
FAM200B	SMS	UT380-066-2
FAM200B	HTS-GFPIVT	YWM_A_AT40NAGCCTC
FAM200B	AFS-GFPIVT	YWM_B_AffSeq_B9_FAM200B-DBD
FBXL19	PBM	PBM13921
FBXL19	PBM	PBM13937
FBXL19	CHS	THC_0240
FBXL19	CHS	THC_0248
FBXL19	SMS	UT380-068-1
FBXL19	SMS	UT380-068-2
FBXL19	HTS-IVT	YWC_B_AG40NTGGCTA
FBXL19	HTS-LYS	YWL_A_GG40NGGTTTA
FBXL19	AFS-LYS	YWL_B_AffSeq_F2_FBXL19
FBXL19	HTS-GFPIVT	YWQ_A_TG40NCATATG
FIZ1	CHS	THC_0662
FIZ1	CHS	THC_0758
FIZ1	SMS	UT380-070-2
FIZ1	HTS-LYS	YWK_A_TC40NGCGATT
FIZ1	AFS-LYS	YWK_B_AffSeq_G8_FIZ1
FIZ1	HTS-LYS	YWK_C_TC40NGCGATT
FIZ1	AFS-LYS	YWK_D_AffSeq_G8_FIZ1
FLI1	PBM	PBM14335
FLI1	PBM	PBM14351
FLI1	CHS	THC_0868
FLI1	CHS	THC_0870
FLI1	HTS-IVT	YWC_B_AC40NGCTGCT
FLI1	AFS-IVT	YWC_C_AffSeq_A09_FLI1
FLI1	HTS-IVT	YWF_A_AT40NCCTTGG
FLI1	AFS-IVT	YWF_B_AffSeq_B12_FLI1
FLI1	HTS-LYS	YWL_A_GT40NGAAGTA
FLI1	AFS-LYS	YWL_B_AffSeq_F8_FLI1
FLI1	HTS-LYS	YWN_A_GT40NCATTCT
FLI1	AFS-LYS	YWN_B_AffSeq_F10_FLI1
FLI1	HTS-LYS	YWO_A_GT40NCATTCT
FLI1	AFS-LYS	YWO_B_AffSeq_F10_FLI1
FLYWCH1	AFS-LYS	YWK_D_AffSeq_D6_FLYWCH1
FLYWCH1	PBM	PBM13940
FLYWCH1	CHS	THC_0335.Rep-DIANA_0293
FLYWCH1	CHS	THC_0335.Rep-MICHELLE_0314
FLYWCH1	CHS	THC_0390.Rep-DIANA_0293
FLYWCH1	CHS	THC_0390.Rep-MICHELLE_0314
FLYWCH1	AFS-LYS	YWK_B_AffSeq_D6_FLYWCH1
FLYWCH1	HTS-GFPIVT	YWM_A_TC40NTTCCGG
FLYWCH1	AFS-GFPIVT	YWM_B_AffSeq_G9_FLYWCH1-FL
FOSL2	PBM	PBM14331
FOSL2	PBM	PBM14347
FOSL2	SMS	SRR3405112
FOSL2	CHS	THC_0523
FOSL2	CHS	THC_0619
FOSL2	HTS-IVT	YWF_A_TT40NTAGCAG
FOSL2	HTS-LYS	YWL_A_TG40NGACCTT
FOSL2	AFS-LYS	YWL_B_AffSeq_H5_FOSL2
GABPA	AFS-IVT	YWE_B_AffSeq_C12_GABPA
GABPA	PBM	PBM14336
GABPA	PBM	PBM14352
GABPA	CHS	THC_0864
GABPA	CHS	THC_0866
GABPA	HTS-IVT	YWE_A_CG40NAATAGC
GABPA	HTS-LYS	YWL_A_TC40NGCGATT
GABPA	AFS-LYS	YWL_B_AffSeq_G8_GABPA
GATAD2A	HTS-GFPIVT	YWM_A_TG40NCCATTT
GATAD2A	AFS-GFPIVT	YWM_B_AffSeq_H9_GATAD2A-DBD
GCM1	PBM	PBM14343
GCM1	PBM	PBM14359
GCM1	SMS	SRR3405056
GCM1	CHS	THC_0525
GCM1	CHS	THC_0621
GCM1	HTS-IVT	YWF_A_TA40NGTTAGC
GCM1	AFS-IVT	YWF_B_AffSeq_F12_GCM1
GCM1	HTS-LYS	YWK_A_TC40NTAAGTG
GCM1	AFS-LYS	YWK_B_AffSeq_G12_GCM1
GCM1	HTS-LYS	YWK_C_TC40NTAAGTG
GCM1	AFS-LYS	YWK_D_AffSeq_G12_GCM1
GLI4	AFS-LYS	AATA_AffSeq_D5_GLI4
GLI4	HTS-LYS	AAT_A_CT40NCTACTT
GLI4	CHS	SI0368
GLYR1	PBM	PBM13625
GLYR1	PBM	PBM13626
GLYR1	PBM	PBM13641
GLYR1	PBM	PBM13642
GLYR1	PBM	PBM14681
GLYR1	PBM	PBM14697
GRHL3	PBM	PBM13630
GRHL3	PBM	PBM13646
GRHL3	HTS-IVT	YWC_B_AG40NGCTCTG
GTF2IRD2	CHS	THC_0420.Rep-MICHELLE_0314
GTF2IRD2	HTS-LYS	YWK_A_GT40NGTTCTC
GTF2IRD2	HTS-LYS	YWK_C_GT40NGTTCTC
HMG20A	PBM	PBM13631
HMG20A	PBM	PBM13632
HMG20A	PBM	PBM13647
HMG20A	PBM	PBM13976
HMG20A	HTS-GFPIVT	YWQ_A_TC40NAATCTC
HMGA1	HTS-GFPIVT	YWP_A_GA40NCTGATT
JRK	PBM	PBM13698
JRK	PBM	PBM13714
JRK	PBM	PBM13932
JRK	CHS	THC_0239
JRK	CHS	THC_0247
JRK	CHS	THC_0437.Rep-DIANA_0293
JRK	CHS	THC_0437.Rep-MICHELLE_0314
JRK	HTS-IVT	YWC_B_CA40NAGCGTA
JRK	HTS-LYS	YWK_A_TG40NTGATCT
JRK	AFS-LYS	YWK_B_AffSeq_H3_JRK
JRK	HTS-LYS	YWK_C_TG40NTGATCT
JRK	AFS-LYS	YWK_D_AffSeq_H3_JRK
JRK	HTS-GFPIVT	YWQ_A_GT40NGTTCTC
JRK	HTS-GFPIVT	YWQ_A_TA40NCGTCGG
JRK	AFS-GFPIVT	YWQ_B_AffSeq_F6_JRK-FL
JRK	AFS-GFPIVT	YWQ_B_AffSeq_G1_JRK-DBD
JUN	PBM	PBM14341
JUN	PBM	PBM14357
JUN	SMS	SRR3405057
JUN	CHS	THC_0869
JUN	CHS	THC_0871
JUNB	PBM	PBM14329
JUNB	PBM	PBM14345
JUNB	CHS	THC_0715
JUNB	CHS	THC_0811
KDM2A	PBM	PBM13922
KDM2A	PBM	PBM13938
KDM2A	CHS	THC_0319.Rep-DIANA_0293
KDM2A	CHS	THC_0319.Rep-MICHELLE_0314
KDM2A	CHS	THC_0461.Rep-DIANA_0293
KDM2A	CHS	THC_0461.Rep-MICHELLE_0314
KDM2A	HTS-LYS	YWD_A_TA40NGCTGTA
KDM2A	AFS-LYS	YWD_B_AffSeq_G06_KDM2A
KDM2A	HTS-GFPIVT	YWP_A_AA40NAGTGGT
LEF1	PBM	PBM14333
LEF1	PBM	PBM14349
LEF1	SMS	SRR3405063
LEF1	CHS	THC_0722
LEF1	CHS	THC_0818
LEF1	HTS-IVT	YWF_A_AC40NTCCTTG
LEF1	AFS-IVT	YWF_B_AffSeq_A12_LEF1
LEF1	HTS-LYS	YWL_A_AT40NAGCCTC
LEF1	AFS-LYS	YWL_B_AffSeq_B9_LEF1
LEUTX	PBM	PBM13704
LEUTX	PBM	PBM13720
LEUTX	PBM	PBM14307
LEUTX	PBM	PBM14323
LEUTX	CHS	THC_0312.Rep-DIANA_0293
LEUTX	CHS	THC_0312.Rep-MICHELLE_0314
LEUTX	CHS	THC_0455.Rep-DIANA_0293
LEUTX	CHS	THC_0455.Rep-MICHELLE_0314
LEUTX	HTS-LYS	YWK_A_AT40NGAGAGG
LEUTX	AFS-LYS	YWK_B_AffSeq_B7_LEUTX
LEUTX	HTS-LYS	YWK_C_AT40NGAGAGG
LEUTX	AFS-LYS	YWK_D_AffSeq_B7_LEUTX
LEUTX	HTS-GFPIVT	YWP_A_TG40NTGATCT
LEUTX	AFS-GFPIVT	YWP_B_AffSeq_H3_LEUTX-FL
LHX6	PBM	PBM14332
LHX6	PBM	PBM14348
LHX6	SMS	SRR3405064
LHX6	CHS	THC_0524
LHX6	CHS	THC_0620
MAX	CHS	THC_0816
MAX	PBM	PBM14301
MAX	PBM	PBM14317
MAX	SMS	SRR3405065
MAX	CHS	THC_0720
MAX	HTS-IVT	YWE_A_CT40NTACGTT
MAX	AFS-IVT	YWE_B_AffSeq_D11_MAX
MAX	HTS-LYS	YWL_A_AT40NTCCCGA
MAX	AFS-LYS	YWL_B_AffSeq_B8_MAX
MAX	HTS-LYS	YWN_A_TG40NGACCTT
MAX	AFS-LYS	YWN_B_AffSeq_H5_MAX
MAX	HTS-LYS	YWO_A_TG40NGACCTT
MAX	AFS-LYS	YWO_B_AffSeq_H5_MAX
MBD1	PBM	PBM13971
MBD1	PBM	PBM13955
MBD1	CHS	THC_0856
MBD1	SMS	UT380-105-2
MBD1	HTS-GFPIVT	YWP_A_AA40NGTGGTG
MBD1	HTS-GFPIVT	YWQ_A_TG40NTGATCT
MBD3	CHS	THC_0706
MBD3	CHS	THC_0802
MBNL2	PBM	PBM13913
MBNL2	PBM	PBM13929
MGA	CHS	THC_0819
MGA	HTS-LYS	YWN_A_TG40NTGATCT
MGA	AFS-LYS	YWN_B_AffSeq_H3_MGA-FL
MGA	HTS-LYS	YWO_A_TG40NTGATCT
MGA	AFS-LYS	YWO_B_AffSeq_H3_MGA-FL
MKX	PBM	PBM13673
MKX	PBM	PBM13657
MKX	CHS	THC_0320.Rep-DIANA_0293
MKX	CHS	THC_0320.Rep-MICHELLE_0314
MKX	CHS	THC_0462.Rep-DIANA_0293
MKX	CHS	THC_0462.Rep-MICHELLE_0314
MKX	SMS	UT380-113
MKX	HTS-IVT	YWC_B_GT40NGGCATT
MKX	HTS-IVT	YWF_A_CC40NTGAGTA
MKX	HTS-LYS	YWK_A_CC40NTGAGTA
MKX	AFS-LYS	YWK_B_AffSeq_C7_MKX
MKX	HTS-LYS	YWK_C_CC40NTGAGTA
MKX	AFS-LYS	YWK_D_AffSeq_C7_MKX
MKX	HTS-GFPIVT	YWP_A_TA40NTCACTC
MSANTD1	PBM	PBM13661
MSANTD1	PBM	PBM13677
MSANTD1	CHS	THC_0514
MSANTD1	CHS	THC_0610
MSANTD1	SMS	UT380-114
MSANTD1	HTS-IVT	YWC_B_AA40NGTGGTG
MSANTD1	AFS-IVT	YWC_C_AffSeq_A06_MSANTD1
MSANTD1	HTS-LYS	YWL_A_TG40NTGTGTT
MSANTD1	AFS-LYS	YWL_B_AffSeq_H6_MSANTD1
MSANTD1	HTS-GFPIVT	YWQ_A_GT40NGAAGTA
MSANTD4	PBM	PBM13663
MSANTD4	PBM	PBM13679
MSANTD4	SMS	UT380-115
MSANTD4	HTS-LYS	YWL_A_AT40NCCTTGG
MSANTD4	AFS-LYS	YWL_B_AffSeq_B12_MSANTD4
MSANTD4	HTS-GFPIVT	YWQ_A_CT40NCGGAGA
MSANTD4	AFS-GFPIVT	YWQ_B_AffSeq_D4_MSANTD4-FL
MYF6	PBM	PBM14361
MYF6	PBM	PBM14377
MYF6	CHS	THC_0721
MYF6	CHS	THC_0817
MYF6	HTS-IVT	YWF_A_GC40NCACTTC
MYF6	HTS-LYS	YWK_A_AT40NCCTTGG
MYF6	AFS-LYS	YWK_B_AffSeq_B12_MYF6
MYF6	HTS-LYS	YWK_C_AT40NCCTTGG
MYF6	AFS-LYS	YWK_D_AffSeq_B12_MYF6
MYPOP	PBM	PBM13664
MYPOP	PBM	PBM13680
MYPOP	CHS	THC_0710
MYPOP	CHS	THC_0806
MYPOP	HTS-IVT	YWC_B_GC40NTATAGG
MYPOP	AFS-IVT	YWC_C_AffSeq_E06_MYPOP
MYPOP	HTS-IVT	YWF_A_TC40NTGCATA
MYPOP	AFS-IVT	YWF_B_AffSeq_G07_MYPOP
MYPOP	HTS-LYS	YWN_A_CC40NTGAGTA
MYPOP	AFS-LYS	YWN_B_AffSeq_C7_MYPOP-FL
MYPOP	HTS-LYS	YWO_A_CC40NTGAGTA
MYPOP	AFS-LYS	YWO_B_AffSeq_C7_MYPOP-FL
MYPOP	HTS-GFPIVT	YWP_A_GC40NCACTTC
MYPOP	AFS-GFPIVT	YWP_B_AffSeq_E11_MYPOP-FL
TTF1	CHS	THC_0808
MYSM1	CHS	THC_0519
MYSM1	CHS	THC_0615
MYT1	HTS-IVT	YWH_A_GA40NGAGCTG
MYT1	HTS-IVT	YWH_A_GT40NACGATC
MYT1	AFS-IVT	YWH_B_AffSeq_E04_MYT1_DBD_1
MYT1	AFS-IVT	YWH_B_AffSeq_F04_MYT1_DBD_2
MYT1	HTS-LYS	YWK_A_TG40NCTGTGG
MYT1	AFS-LYS	YWK_B_AffSeq_H8_MYT1
MYT1	HTS-LYS	YWK_C_TG40NCTGTGG
MYT1	AFS-LYS	YWK_D_AffSeq_H8_MYT1
MYT1	HTS-GFPIVT	YWP_A_CA40NAGCGTA
MYT1	AFS-GFPIVT	YWP_B_AffSeq_C3_MYT1-DBD1
MYT1	HTS-GFPIVT	YWQ_A_GA40NTTCCTA
MYT1	AFS-GFPIVT	YWQ_B_AffSeq_E3_MYT1-DBD2
NACC2	AFS-LYS	YWD_B_AffSeq_E02_NACC2
NACC2	PBM	PBM13725
NACC2	PBM	PBM13741
NACC2	CHS	THC_0131
NACC2	CHS	THC_0171
NACC2	CHS	THC_0179
NACC2	SMS	UT380-127-2
NACC2	SMS	UT380-127-3
NACC2	HTS-IVT	YWC_B_TG40NTGTGTT
NACC2	HTS-LYS	YWD_A_GA40NGGTCAT
NACC2	HTS-IVT	YWF_A_GC40NCTTGTA
NACC2	HTS-GFPIVT	YWM_A_AC40NTGTTAC
NACC2	AFS-GFPIVT	YWM_B_AffSeq_A11_NACC2-DBD
NFKB1	SMS	SRR3405069
NFKB1	CHS	THC_0528
NFKB1	CHS	THC_0624
NFKB1	HTS-IVT	YWF_A_TT40NCTCGTC
NFKB1	AFS-IVT	YWF_B_AffSeq_H12_NFKB1
NFKB1	HTS-LYS	YWL_A_AC40NGCTGCT
NFKB1	AFS-LYS	YWL_B_AffSeq_A9_NFKB1
NR1H4	PBM	PBM14355
NR1H4	CHS	THC_0527
NR1H4	CHS	THC_0623
NR1H4	HTS-IVT	YWF_A_GA40NTGTATC
NR1H4	HTS-LYS	YWL_A_GC40NTATAGG
NR1H4	AFS-LYS	YWL_B_AffSeq_E6_NR1H4
NR4A2	PBM	PBM14344
NR4A2	PBM	PBM14360
NR4A2	SMS	SRR3405072
NR4A2	HTS-IVT	YWE_A_TC40NTAAGTG
PAX7	PBM	PBM14340
PAX7	PBM	PBM14356
PAX7	SMS	SRR3405074
PAX7	CHS	THC_0719
PAX7	CHS	THC_0815
PAX7	HTS-IVT	YWE_A_GG40NGTGAGA
PAX7	HTS-LYS	YWK_A_AC40NGATGTT
PAX7	AFS-LYS	YWK_B_AffSeq_A10_PAX7
PAX7	HTS-LYS	YWK_C_AC40NGATGTT
PAX7	AFS-LYS	YWK_D_AffSeq_A10_PAX7
PHF21A	PBM	PBM13820
PHF21A	PBM	PBM13836
POGK	SMS	UT380-149
POGK	HTS-IVT	YWF_A_AG40NTCGACT
POGK	HTS-LYS	YWK_A_TA40NCGTCGG
POU5F1	PBM	PBM14330
POU5F1	HTS-GFPIVT	YWM_A_CC40NCGTTTT
POU5F1	SMS	SRR3405073
POU5F1	SMS	UT380-150
POU5F1	HTS-IVT	YWE_A_TC40NACGGGA
POU5F1	AFS-GFPIVT	YWM_B_AffSeq_C11_POU5F1-FL
PRDM10	CHS	THC_0222
PRDM10	CHS	THC_0230
PRDM10	SMS	UT380-153
PRDM10	HTS-LYS	YWK_A_GA40NCTGATT
PRDM10	HTS-LYS	YWK_C_GA40NCTGATT
PRDM10	HTS-GFPIVT	YWP_A_CT40NTCTAGT
PRDM10	AFS-GFPIVT	YWP_B_AffSeq_D5_PRDM10-DBD
PRDM13	CHS	THC_0223
PRDM13	CHS	THC_0231
PRDM13	SMS	UT380-154
PRDM13	HTS-IVT	YWH_A_AG40NGCTCTG
PRDM13	AFS-IVT	YWH_B_AffSeq_B05_PRDM13_DBD
PRDM13	HTS-LYS	YWK_A_GG40NCGTAGT
PRDM13	AFS-LYS	YWK_B_AffSeq_F1_PRDM13
PRDM13	HTS-LYS	YWK_C_GG40NCGTAGT
PRDM13	AFS-LYS	YWK_D_AffSeq_F1_PRDM13
PRDM13	HTS-GFPIVT	YWP_A_CG40NAATAGC
PRDM13	AFS-GFPIVT	YWP_B_AffSeq_C12_PRDM13-DBD
PRDM13	HTS-GFPIVT	YWQ_A_TC40NGCGATT
PRDM13	AFS-GFPIVT	YWQ_B_AffSeq_G8_PRDM13-FL
PRDM5	CHS	THC_0307.Rep-DIANA_0293
PRDM5	CHS	THC_0307.Rep-MICHELLE_0314
PRDM5	CHS	THC_0904
PRDM5	SMS	UT380-158
PRDM5	SMS	UT380-158-2
PRDM5	HTS-LYS	YWK_A_AG40NTCGACT
PRDM5	AFS-LYS	YWK_B_AffSeq_B1_PRDM5
PRDM5	HTS-LYS	YWK_C_AG40NTCGACT
PRDM5	AFS-LYS	YWK_D_AffSeq_B1_PRDM5
PRDM5	HTS-GFPIVT	YWQ_A_AT40NCCTTGG
PRDM5	HTS-GFPIVT	YWQ_A_GT40NTGTGGA
PRDM5	AFS-GFPIVT	YWQ_B_AffSeq_B12_PRDM5-DBD
PRDM5	AFS-GFPIVT	YWQ_B_AffSeq_F7_PRDM5-FL
PURB	PBM	PBM13748
PURB	PBM	PBM14308
PURB	PBM	PBM14324
PURB	PBM	PBM14454
RARA	PBM	PBM14338
RARA	PBM	PBM14354
RARA	SMS	SRR3405076
RARA	HTS-IVT	YWE_A_GA40NTGTATC
RARA	AFS-IVT	YWE_B_AffSeq_D12_RARA
RARA	HTS-LYS	YWK_A_TG40NCCATTT
RARA	AFS-LYS	YWK_B_AffSeq_H9_RARA
RARA	HTS-LYS	YWK_C_TG40NCCATTT
RARA	AFS-LYS	YWK_D_AffSeq_H9_RARA
RFX5	CHS	THC_0085
RFX5	CHS	THC_0121
RFX5	HTS-GFPIVT	YWP_A_TC40NTAAGTG
RFX5	AFS-GFPIVT	YWP_B_AffSeq_G12_RFX5-FL
RLF	CHS	THC_0339.Rep-DIANA_0293
RLF	CHS	THC_0339.Rep-MICHELLE_0314
RLF	SMS	UT380-175-2
RLF	HTS-IVT	YWH_A_TG40NGACCTT
RLF	AFS-IVT	YWH_B_AffSeq_H05_RLF_DBD_2
RLF	HTS-GFPIVT	YWP_A_AG40NGGAATC
RLF	AFS-GFPIVT	YWP_B_AffSeq_B3_RLF-DBD2
RORB	PBM	PBM14337
RORB	PBM	PBM14353
RORB	SMS	SRR3405080
RORB	CHS	THC_0813
RORB	HTS-IVT	YWF_A_CG40NAATAGC
RORB	AFS-IVT	YWF_B_AffSeq_C12_RORB
RORB	HTS-LYS	YWL_A_CA40NGCCTTT
RORB	AFS-LYS	YWL_B_AffSeq_C6_RORB
RXRA	PBM	PBM14305
RXRA	PBM	PBM14321
RXRA	SMS	SRR3405082
RXRA	HTS-IVT	YWC_A_TT40NCTCGTC
RXRA	HTS-IVT	YWE_A_TT40NTAGCAG
RXRA	AFS-IVT	YWE_B_AffSeq_H11_RXRA
RXRA	HTS-LYS	YWL_A_CT40NTTGCGC
RXRA	AFS-LYS	YWL_B_AffSeq_D6_RXRA
SALL3	CHS	THC_0314.Rep-DIANA_0293
SALL3	CHS	THC_0314.Rep-MICHELLE_0314
SALL3	HTS-IVT	YWE_A_AG40NACCATA
SALL3	AFS-IVT	YWE_B_AffSeq_B02_SALL3
SALL3	HTS-IVT	YWF_A_AG40NACCATA
SALL3	AFS-IVT	YWF_B_AffSeq_B02_SALL3
SALL3	HTS-LYS	YWK_A_AA40NTATCGC
SALL3	HTS-LYS	YWK_A_TG40NTGTGTT
SALL3	AFS-LYS	YWK_B_AffSeq_A1_SALL3
SALL3	AFS-LYS	YWK_B_AffSeq_H6_SALL3
SALL3	HTS-LYS	YWK_C_AA40NTATCGC
SALL3	HTS-LYS	YWK_C_TG40NTGTGTT
SALL3	AFS-LYS	YWK_D_AffSeq_A1_SALL3
SALL3	AFS-LYS	YWK_D_AffSeq_H6_SALL3
SALL3	HTS-GFPIVT	YWP_A_AT40NTCTGTC
SALL3	AFS-GFPIVT	YWP_B_AffSeq_B10_SALL3-DBD2
